sleep_hours,screen_time,exercise_minutes,daily_pending_tasks,interruptions,fatigue_level,social_hours,coffee_cups,diet_quality,weather,mood_score,stress_level
7.745071229516849,3.649643450051237,13.272466123190378,1,5,4.179954716671215,2.448854453908311,1,average,snowy,9.17106187971282,1.0
6.792603548243223,4.710962658568964,1.7854356173053743,3,6,4.883678606993832,1.330623391783734,3,good,sunny,5.706490959506563,3.558516094870373
7.971532807151039,3.415160158000077,71.84332520018512,4,10,4.20781192409785,2.134119588113646,0,poor,cloudy,10.0,2.9714500849494914
9.284544784612038,4.384076940721919,14.59665614049699,2,4,3.362591793145369,1.8570695916100786,0,good,sunny,8.385038172293577,1.0
6.648769937914996,1.2127706660924287,19.048010483856338,3,5,6.229106744483432,2.642980457334991,1,poor,rainy,10.0,1.639047033206499
6.648794564576229,5.426587414745877,5.399719068159187,3,3,4.702907435719125,2.141541220840229,0,poor,cloudy,5.916325683280226,1.0320664541500852
9.368819223261088,5.002410950724449,13.213525659769436,3,3,4.8211210192788965,2.286156883899546,1,average,sunny,8.374237907454606,1.0
8.151152093729364,3.3658227378636187,11.21255821772323,2,8,0.0,0.9741284784010489,1,good,sunny,9.37523844217386,1.0
6.295788421097572,6.31849133686481,1.5569788913576454,3,3,4.547023559941643,0.7218681200544057,0,average,snowy,4.838738730013872,1.5734651428437643
7.8138400653789475,6.875140275253116,2.244577725617763,1,7,2.846783292513941,2.0706278286983415,2,average,rainy,6.4470287828156465,1.0
6.304873460781307,1.7848802712620517,36.338163629430504,5,8,3.9551270960846976,2.1815521110438527,4,average,cloudy,10.0,5.139845870928514
6.301405369644614,3.4745504428675718,5.483999375359758,4,4,5.4725601879061,0.9484327128514929,5,poor,cloudy,6.4184543261073745,4.362528889608506
7.362943407349051,3.4617153004254035,4.337223325187647,3,5,3.7729770161759184,2.5715565710387613,0,average,snowy,6.542735324614972,1.2061520271430246
4.130079633013303,3.120193797782271,14.060372920966985,4,6,4.048916829202555,2.6150446019760256,2,good,cloudy,7.453496756369696,4.666782349326759
4.412623251230451,6.658949683863497,29.2848699549536,3,1,5.193154363901679,2.1561335341936254,0,poor,cloudy,8.87413054070774,1.495036724229851
6.1565687061385415,4.612347722454393,1.2789663032195289,3,2,3.9869732078070212,2.0157385797323184,1,average,rainy,5.832472066039783,1.4053974595000231
5.480753319498364,4.470970317378779,17.19858224628267,4,3,2.8893739405269034,0.7325030840904938,0,good,sunny,8.722895140369628,3.167244924040788
7.471370998892911,0.9922752711864931,2.5387309945995735,3,4,1.5569887061209053,0.7157365900478263,0,poor,sunny,8.874042841282671,1.0
5.637963886718183,6.2708360604184525,0.7428473453950273,4,4,5.6731515680315825,2.394708947603096,1,average,cloudy,3.097071683382469,3.6007922337693214
4.881544447997063,2.521483210293055,1.0837168895391924,2,4,3.966990811240935,1.1719787001936246,2,average,rainy,4.87465300211649,2.2326395373096046
